lon,lat,City,State,Date,Attendance,Movement,Cause,Description
-77.0366456,38.8949549,Washington,DC,2017-04-29,190000,Environmental & Food Justice,Climate Justice,People's Climate March
-87.6244212,41.8755546,Chicago,IL,2017-04-22,49000,U.S. Politics,Scientific Funding,March for Science
-73.4373087,45.4423543,San Francisco,CA,2017-04-22,30750,U.S. Politics,Scientific Funding,March for Science
-118.244476,34.054935,Los Angeles,CA,2017-04-22,29100,U.S. Politics,Scientific Funding,March for Science
-73.356691165361,40.74123595,New York,NY,2017-04-22,29000,U.S. Politics,Scientific Funding,March for Science
-93.1015026,44.9504037,St. Paul,MN,2017-04-22,27100,U.S. Politics,Scientific Funding,March for Science
-77.0366456,38.8949549,Washington,DC,2017-04-22,19100,U.S. Politics,Scientific Funding,March for Science
-104.9653271,39.7348381,Denver,CO,2017-04-22,17250,U.S. Politics,Scientific Funding,March for Science
-117.1627714,32.7174209,San Diego,CA,2017-04-22,15000,U.S. Politics,Scientific Funding,March for Science
-95.3676974,29.7589382,Houston,TX,2017-04-22,15000,U.S. Politics,Scientific Funding,March for Science
-75.1635755,39.9524152,Philadelphia,PA,2017-04-22,14500,U.S. Politics,Scientific Funding,March for Science
-84.3901849,33.7490987,Atlanta,GA,2017-04-22,13350,U.S. Politics,Scientific Funding,March for Science
-121.4943996,38.5815719,Sacramento,CA,2017-04-22,12250,U.S. Politics,Scientific Funding,March for Science
-118.244476,34.054935,Los Angeles,CA,2017-04-15,10900,U.S. Politics,Politician Opposition,demand Trump tax returns
-96.7968559,32.7762719,Dallas,TX,2017-04-09,10760,Racial Justice,Immigrant Rights,Mega March against Trump's immigration policies
-122.3300624,47.6038321,Seattle,WA,2017-04-22,10650,U.S. Politics,Scientific Funding,March for Science
-122.3300624,47.6038321,San Jose,CA,2017-04-22,10000,U.S. Politics,Scientific Funding,March for Science
-118.244476,34.054935,Los Angeles,CA,2017-04-24,10000,Racial Justice,Anti-Racism,102nd anniversary of Armenian Genocide
-81.6934446,41.5051613,Cleveland,OH,2017-04-22,8900,U.S. Politics,Scientific Funding,March for Science
-83.7312291,42.2681569,Ann Arbor,MI,2017-04-22,8400,U.S. Politics,Scientific Funding,March for Science
-76.8861122,40.2663107,Harrisburg,PA,2017-04-29,7000,U.S. Politics,Politician Support,President Trump rally
-86.1583502,39.7683331,Indianapolis,IN,2017-04-22,6150,U.S. Politics,Scientific Funding,March for Science
-84.5124602,39.1014537,Cincinnati,OH,2017-04-22,5950,U.S. Politics,Scientific Funding,March for Science
-97.7436995,30.2711286,Austin,TX,2017-04-22,5600,U.S. Politics,Scientific Funding,March for Science
-88.2433829,40.1164205,Champaign,IL,2017-04-22,5000,U.S. Politics,Scientific Funding,March for Science
-105.9377997,35.6869996,Santa Fe,NM,2017-04-22,5000,U.S. Politics,Scientific Funding,March for Science
-112.0773456,33.4485866,Phoenix,AZ,2017-04-22,4700,U.S. Politics,Scientific Funding,March for Science
-123.2620435,44.5645659,Corvallis,OR,2017-04-22,4450,U.S. Politics,Scientific Funding,March for Science
-122.8948725,47.0450197,Olympia,WA,2017-04-22,4450,U.S. Politics,Scientific Funding,March for Science
-89.3837613,43.074761,Madison,WI,2017-04-22,4450,U.S. Politics,Scientific Funding,March for Science
-8.4335089,40.2139237,Santa Cruz,CA,2017-04-22,4000,U.S. Politics,Scientific Funding,March for Science
-84.2809332,30.4380832,Tallahassee,FL,2017-04-22,4000,U.S. Politics,Scientific Funding,March for Science
-106.6509851,35.0841034,Albuquerque,NM,2017-04-22,4000,U.S. Politics,Scientific Funding,March for Science
-86.7743531,36.1622296,Nashville,TN,2017-04-22,4000,U.S. Politics,Scientific Funding,March for Science
-122.3300624,47.6038321,Seattle,WA,2017-04-15,4000,U.S. Politics,Politician Opposition,demand Trump tax returns
-73.6077401,45.5361933,Santa Barbara,CA,2017-04-22,3900,U.S. Politics,Scientific Funding,March for Science
-111.586066176293,33.436188,Mesa,AZ,2017-04-21,3800,U.S. Politics,Politician Support,Bernie Sanders rally
-89.3837613,43.074761,Madison,WI,2017-04-22,3625,Environmental & Food Justice,Climate Justice,Madison Climate March
-97.7436995,30.2711286,Austin,TX,2017-04-29,3500,Environmental & Food Justice,Climate Justice,People's Climate March
-82.6469934,27.77330515,St. Petersburg,FL,2017-04-22,3350,U.S. Politics,Scientific Funding,March for Science
-79.9900861,40.4416941,Pittsburgh,PA,2017-04-22,3350,U.S. Politics,Scientific Funding,March for Science
-117.1627714,32.7174209,San Diego,CA,2017-04-29,3260,Environmental & Food Justice,Climate Justice,People's Climate March
-93.6037149,41.5910641,Des Moines,IA,2017-04-22,3000,U.S. Politics,Scientific Funding,March for Science
-83.0567375,42.3486635,Detroit,MI,2017-04-22,3000,U.S. Politics,Scientific Funding,March for Science
-73.9284101,41.7065779,Poughkeepsie,NY,2017-04-29,3000,Environmental & Food Justice,Climate Justice,People's Climate March
-111.8904308,40.7670126,Salt Lake City,UT,2017-04-21,3000,U.S. Politics,Politician Support,Bernie Sanders rally
-111.8904308,40.7670126,Salt Lake City,UT,2017-04-22,3000,U.S. Politics,Scientific Funding,March for Science
-72.575684,44.260445,Montpelier,VT,2017-04-29,3000,Environmental & Food Justice,Climate Justice,People's Climate March
-87.6244212,41.8755546,Chicago,IL,2017-04-15,2900,U.S. Politics,Politician Opposition,demand Trump tax returns
-83.0007065,39.9622601,Columbus,OH,2017-04-22,2900,U.S. Politics,Scientific Funding,March for Science
-73.5428,45.5484418,Chico,CA,2017-04-22,2725,U.S. Politics,Scientific Funding,March for Science
-96.7968559,32.7762719,Dallas,TX,2017-04-22,2725,U.S. Politics,Scientific Funding,March for Science
-122.3300624,47.6038321,Seattle,WA,2017-04-29,2675,Environmental & Food Justice,Climate Justice,People's Climate March
-110.9262353,32.2218917,Tucson,AZ,2017-04-22,2500,U.S. Politics,Scientific Funding,March for Science
-84.5553805,42.7337712,Lansing,MI,2017-04-22,2500,U.S. Politics,Scientific Funding,March for Science
-124.08284,40.866517,Arcata,CA,2017-04-22,2450,U.S. Politics,Scientific Funding,March for Science
-117.1627714,32.7174209,San Diego,CA,2017-04-15,2450,U.S. Politics,Politician Opposition,demand Trump tax returns
-77.0366456,38.8949549,Washington,DC,2017-04-15,2175,U.S. Politics,Politician Opposition,demand Trump tax returns
-149.8948523,61.2163129,Anchorage,AK,2017-04-22,2000,U.S. Politics,Scientific Funding,March for Science
-86.765783,33.570499,Birmingham,AL,2017-04-22,2000,U.S. Politics,Scientific Funding,March for Science
-123.10250585,49.26334935,Santa Rosa,CA,2017-04-22,2000,U.S. Politics,Scientific Funding,March for Science
-80.7272504,44.3669375,Berkeley,CA,2017-04-22,2000,U.S. Politics,Scientific Funding,March for Science
-73.4373087,45.4423543,San Francisco,CA,2017-04-15,2000,U.S. Politics,Politician Opposition,demand Trump tax returns
-104.9653271,39.7348381,Denver,CO,2017-04-15,2000,U.S. Politics,Politician Opposition,demand Trump tax returns
-95.283819,38.943818,Hartford,CT,2017-04-29,2000,Racial Justice,Immigrant Rights,pro-immigration; anti-Trump
-81.4127841856302,28.5479786,Orlando,FL,2017-04-22,2000,U.S. Politics,Scientific Funding,March for Science
-82.5306527,27.3364347,Sarasota,FL,2017-04-15,2000,U.S. Politics,Politician Opposition,demand Trump tax returns
-157.846644178573,21.3250785,Honolulu,HI,2017-04-29,2000,Environmental & Food Justice,Climate Justice,People's Climate March
-116.200835,43.61656,Boise,ID,2017-04-22,2000,U.S. Politics,Scientific Funding,March for Science
-87.6244212,41.8755546,Chicago,IL,2017-04-29,2000,Environmental & Food Justice,Climate Justice,People's Climate March
-71.0595678,42.3604823,Boston,MA,2017-04-29,2000,Environmental & Food Justice,Climate Justice,People's Climate March
-69.779663,44.310583,Augusta,ME,2017-04-29,2000,Environmental & Food Justice,Climate Justice,People's Climate March
-83.7312291,42.2681569,Ann Arbor,MI,2017-04-15,2000,U.S. Politics,Politician Opposition,demand Trump tax returns
-90.1978889,38.6272733,St. Louis,MO,2017-04-22,2000,U.S. Politics,Scientific Funding,March for Science
-82.5540161,35.6009498,Asheville,NC,2017-04-22,2000,U.S. Politics,Scientific Funding,March for Science
-78.6390989,35.7803977,Raleigh,NC,2017-04-22,2000,U.S. Politics,Scientific Funding,March for Science
-74.6592958,40.3492744,Princeton,NJ,2017-04-22,2000,U.S. Politics,Scientific Funding,March for Science
-78.8783922,42.8867166,Buffalo,NY,2017-04-22,2000,U.S. Politics,Scientific Funding,March for Science
-73.754968,42.6511674,Albany,NY,2017-04-22,2000,U.S. Politics,Scientific Funding,March for Science
-97.5170536,35.4729886,Oklahoma City,OK,2017-04-22,2000,U.S. Politics,Scientific Funding,March for Science
-122.6741949,45.5202471,Portland,OR,2017-04-22,2000,U.S. Politics,Scientific Funding,March for Science
