lon,lat,City,State,Date,Attendance,Movement,Cause,Description 
-71.0595678,42.3604823,Boston,MA,2017-08-19,50000,Racial Justice,Anti-Racism,Fight Supremacy! Boston Counter-Protest & Resistance Rally
-80.7272504,44.3669375,Berkeley,CA,2017-08-27,7000,Racial Justice,Anti-Racism,Rally Against Hate; counter-protest Patriot Prayer
-77.0366456,38.8949549,Washington,DC,2017-08-28,3000,Racial Justice,Anti-Racism,One Thousand Ministers March for Justice
-83.9210261,35.9603948,Knoxville,TN,2017-08-26,2800,Racial Justice,Anti-Racism,Counter-protest white supremacist rally
-122.3300624,47.6038321,Seattle,WA,2017-08-26,2700,Racial Justice,Anti-Racism,"Removal of Confederate Statue, White Supremacists outnumbered by counter-protestors"
-96.7968559,32.7762719,Dallas,TX,2017-08-19,2500,Racial Justice,Anti-Racism,Protesting violence/racism in Charlottesville
-113.402912433547,53.4453765,Laguna Beach,CA,2017-08-20,2500,Racial Justice,Anti-Racism,Counter-protest; against America First! rally
-75.1635755,39.9524152,Philadelphia,PA,2017-08-16,2200,Racial Justice,Anti-Racism,Philly Is Charlottesville March and Rally; Unmasking White Supremacy in Philadelphia
-80.3310713,43.0317491,Oakland,CA,2017-08-12,2000,Racial Justice,Anti-Racism,Protesting violence/racism in Charlottesville
-73.356691165361,40.74123595,New York,NY,2017-08-14,2000,Racial Justice,Anti-Racism,Protesting Trump's response to Charlottesville
-111.8904308,40.7670126,Salt Lake City,UT,2017-08-14,2000,Racial Justice,Anti-Racism,Protesting violence/racism in Charlottesville
-78.4766781,38.029306,Charlottesville,VA,2017-08-16,2000,Racial Justice,Anti-Racism,Protesting violence/racism in Charlottesville
-84.3901849,33.7490987,Atlanta,GA,2017-08-19,2000,Racial Justice,Anti-Racism,"Protesting violence/racism in Charlottesville, Trump"
-89.9750054503052,30.03280175,New Orleans,LA,2017-08-19,2000,Racial Justice,Anti-Racism,Protesting violence/racism in Charlottesville
-87.6244212,41.8755546,Chicago,IL,2017-08-26,2000,Racial Justice,Anti-Racism,Rally against hate
-73.4373087,45.4423543,San Francisco,CA,2017-08-26,2000,Racial Justice,Anti-Racism,San Francisco Peacefully Unites Against White Nationalists
-73.4373087,45.4423543,San Francisco,CA,2017-08-26,2000,Racial Justice,Anti-Racism,counter planned white supremacist rallies
