lon,lat,City,State,Date,Attendance,Movement,Cause,Description
-78.6390989,35.7803977,Raleigh,NC,2017-02-11,48500,U.S. Politics,Multiple Causes,"Voting Rights, against immigration executive order, against North Carolina restrictions on transgender rights, against ACA repeal"
-87.9065,43.0389,Milwaukee,WI,2017-02-13,15000,Racial Justice,Immigrant Rights,Against Milwaukee Sheriff arresting undocumented immigrants
-80.6081,28.0836,Melbourne,FL,2017-02-18,9000,U.S. Politics,Politician Support,pro-Trump
-73.4373087,45.4423543,San Francisco,CA,2017-02-04,7500,Racial Justice,Immigrant Rights,protest immigration ban and border wall
-80.8431268,35.2270869,Charlotte,NC,2017-02-16,7500,Racial Justice,Immigrant Rights,Immigrant rights march
-104.9653271,39.7348381,Denver,CO,2017-02-04,6000,Racial Justice,Immigrant Rights,"end the ""Muslim ban"""
-73.356691165361,40.74123595,New York,NY,2017-02-20,6000,Racial Justice,Immigrant Rights,pro-Muslim; oppose immigration EO
-93.1015026,44.9504037,St. Paul,MN,2017-02-11,5500,Women's Rights,Reproductive Rights,Supporting Planned Parenthood
-71.0595678,42.3604823,Boston,MA,2017-02-19,5000,Environmental & Food Justice,General Awareness,"pro-science, pro-environment"
-71.0595678,42.3604823,San Jose,CA,2017-02-11,4000,Women's Rights,Reproductive Rights,Supporting Planned Parenthood
-157.846644178573,21.3250785,Honolulu,HI,2017-02-13,4000,U.S. Politics,Education,support raising taxes for school funding
-117.1627714,32.7174209,San Diego,CA,2017-02-18,4000,Racial Justice,Immigrant Rights,Immigrant rights march
-95.677556,39.049011,Topeka,KS,2017-02-25,4000,U.S. Politics,Politician Opposition,anti-Trump; progressive
-73.356691165361,40.74123595,New York,NY,2017-02-11,3950,Women's Rights,Reproductive Rights,Supporting Planned Parenthood
-119.708861260756,36.7295295,Fresno,CA,2017-02-16,3700,Racial Justice,Immigrant Rights,Immigrant rights protest
-86.7743531,36.1622296,Nashville,TN,2017-02-01,3000,Racial Justice,Immigrant Rights,Immigration ban
-111.8904308,40.7670126,Salt Lake City,UT,2017-02-04,3000,U.S. Politics,Politician Opposition,anti-Trump; protest immigration ban
-90.1978889,38.6272733,St. Louis,MO,2017-02-11,3000,Women's Rights,Reproductive Rights,Supporting Planned Parenthood
-117.2919818,33.0369867,Encinitas,CA,2017-02-11,2500,Women's Rights,Reproductive Rights,Supporting Planned Parenthood
-73.4373087,45.4423543,San Francisco,CA,2017-02-11,2500,U.S. Politics,Politician Opposition,anti-Trump
-89.5891008,40.6938609,Peoria,IL,2017-02-11,2500,Women's Rights,Reproductive Rights,Supporting Planned Parenthood
-93.6037149,41.5910641,Des Moines,IA,2017-02-16,2250,Racial Justice,Immigrant Rights,Immigrant rights march
-73.9866136,40.7306458,New York City,NY,2017-02-01,2000,U.S. Politics,Politician Opposition,Protesting senator schumer
-90.0490,35.1495,Memphis,TN,2017-02-01,2000,Racial Justice,Immigrant Rights,Immigration ban
-77.0369,38.9072,Washington,DC,2017-02-04,2000,Racial Justice,Immigrant Rights,immigration ban
-80.0533746,26.7153425,West Palm Beach,FL,2017-02-04,2000,U.S. Politics,Politician Opposition,anti-Trump
-73.9866136,40.7306458,New York City,NY,2017-02-04,2000,Racial Justice,Immigrant Rights,immigration ban
-75.1635755,39.9524152,Philadelphia,PA,2017-02-04,2000,Racial Justice,Immigrant Rights,immigration ban
-74.2121964562147,40.092024,Lakewood,NJ,2017-02-16,2000,Racial Justice,Immigrant Rights,Immigrant Rights
-118.244476,34.054935,Los Angeles,CA,2017-02-18,2000,Racial Justice,Immigrant Rights,Immigrant Rights
-87.6244212,41.8755546,Chicago,IL,2017-02-19,2000,U.S. Politics,Politician Opposition,anti-Trump
-118.244476,34.054935,Los Angeles,CA,2017-02-20,2000,U.S. Politics,Politician Opposition,Not My President Day; anti-Trump
-73.356691165361,40.74123595,New York,NY,2017-02-20,2000,U.S. Politics,Politician Opposition,Not My President Day; anti-Trump
144.9416745,-37.6750126,Stamford,CT,2017-02-23,2000,U.S. Politics,Politician Opposition,Walkout against Betsy DeVos
-96.7968559,32.7762719,Dallas,TX,2017-02-18,1700,Racial Justice,Immigrant Rights,Immigrant Rights
-80.7272504,44.3669375,Berkeley,CA,2017-02-02,1500,Racial Justice,Anti-Racism,"protest against alt-right Breitbart editor, Milo Yiannopoulos"
-73.9866136,40.7306458,New York City,NY,2017-02-02,1500,Racial Justice,Immigrant Rights,"end the ""muslim ban"""
