lon,lat,City,State,Date,Attendance,Movement,Casue,Description
-118.244476,34.054935,Los Angeles,CA,2018-01-20,600000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-73.356691165361,40.74123595,New York,NY,2018-01-20,400000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-98.4951405,29.4246002,San Antonio,TX,2018-01-15,300000,Racial Justice,Anti-Racism,March for racial equality
-87.6244212,41.8755546,Chicago,IL,2018-01-20,300000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-77.0366456,38.8949549,Washington,DC,2018-01-19,200000,U.S. Politics,Health Care,Protesting abortion
-122.3300624,47.6038321,Seattle,WA,2018-01-20,175000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-104.9653271,39.7348381,Denver,CO,2018-01-20,100000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-117.1627714,32.7174209,San Diego,CA,2018-01-20,100000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-77.0366456,38.8949549,Washington,DC,2018-01-20,75000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-73.4373087,45.4423543,San Francisco,CA,2018-01-20,60000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-73.4373087,45.4423543,San Francisco,CA,2018-01-27,50000,U.S. Politics,Health Care,Protesting abortion
-80.3310713,43.0317491,Oakland,CA,2018-01-20,50000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
Error,Error,Philidelphia,PA,2018-01-20,50000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-79.9900861,40.4416941,Pittsburgh,PA,2018-01-21,50000,Women’s Rights,General Awareness,Empower Voters to Support Womens's Rights
-118.244476,34.054935,Los Angeles,CA,2018-01-20,35000,Racial Justice,Anti-Racism,Protesting abortion
-121.4943996,38.5815719,Sacramento,CA,2018-01-20,30000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-8.4335089,40.2139237,Santa Cruz,CA,2018-01-20,30000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-112.0773456,33.4485866,Phoenix,AZ,2018-01-21,25000,Women’s Rights,General Awareness,Empower Voters to Support Womens's Rights
-112.0773456,33.4485866,Santa Ana,CA,2018-01-20,24000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-121.4943996,38.5815719,Sacramento,CA,2018-01-15,20000,U.S. Politics,Health Care,March for racial equality
-95.3676974,29.7589382,Houston,TX,2018-01-20,20000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-74.4809492,40.7970384,Morristown,NJ,2018-01-20,20000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-74.4809492,40.7970384,San Jose,CA,2018-01-20,20000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-86.7743531,36.1622296,Nashville,TN,2018-01-20,15000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-89.9750054503052,30.03280175,New Orleans,LA,2018-01-20,15000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-76.7966215,42.910622,Seneca Falls,NY,2018-01-20,15000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-83.9210261,35.9603948,Knoxville,TN,2018-01-21,14000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-82.5306527,27.3364347,Sarasota,FL,2018-01-20,12000,Other,Other,March For Democracy
-84.5124602,39.1014537,Cincinnati,OH,2018-01-20,12000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-95.283819,38.943818,Hartford,CT,2018-01-20,12000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-119.8136744,39.52927,Reno,NV,2018-01-20,12000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-77.0366456,38.8949549,Washington,DC,2018-01-18,10000,U.S. Politics,Health Care,Protesting abortion
-71.1056157,42.3750997,Cambridge,MA,2018-01-20,10000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-122.8718605,42.3264181,Medford,OR,2018-01-20,10000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-79.5280653,43.5936451,Walnut Creek,CA,2018-01-20,10000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-122.8948725,47.0450197,Olympia,WA,2018-01-20,8000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-95.9378732,41.2587317,Omaha,NE,2018-01-20,8000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-115.149225,36.1662859,Las Vegas,NV,2018-01-21,8000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-84.5553805,42.7337712,Lansing,MI,2018-01-21,7300,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-81.6934446,41.5051613,Cleveland,OH,2018-01-20,7000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-96.7968559,32.7762719,Dallas,TX,2018-01-20,7000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-93.6037149,41.5910641,Des Moines,IA,2018-01-20,7000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-123.0950506,44.0505054,Eugene,OR,2018-01-20,7000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-96.7968559,32.7762719,Dallas,TX,2018-01-21,7000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-78.6390989,35.7803977,Raleigh,NC,2018-01-20,6500,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-117.4212265,47.6579425,Spokane,WA,2018-01-21,6500,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-78.0656936,44.3214498,Westwood,CA,2018-01-07,6000,Other,International Politics,Rallying behind Iranian protestors
-77.3063733,38.8462236,Fairfax,VA,2018-01-19,5300,U.S. Politics,Health Care,Protesting abortion
-112.0773456,33.4485866,Phoenix,AZ,2018-01-15,5000,Racial Justice,Anti-Racism,March for racial equality
-106.6509851,35.0841034,Albuquerque,NM,2018-01-19,5000,Racial Justice,Immigrant Rights,Rallying for DREAM Act
-117.1627714,32.7174209,San Diego,CA,2018-01-20,5000,U.S. Politics,Health Care,Protesting abortion
-122.8948725,47.0450197,Olympia,WA,2018-01-22,5000,U.S. Politics,Health Care,Protesting attempts to expand contraceptive insurance
-97.7436995,30.2711286,Austin,TX,2018-01-27,5000,U.S. Politics,Health Care,Protesting abortion
-96.667821,40.8,Lincoln,NE,2018-01-27,5000,U.S. Politics,Health Care,Anti-abortion March For Life
-80.8431268,35.2270869,Charlotte,NC,2018-01-20,5000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-73.5428,45.5484418,Chico,CA,2018-01-20,5000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-85.9373384357636,79.98855485,Eureka,CA,2018-01-20,5000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-97.3327459,32.753177,Fort Worth,TX,2018-01-20,5000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-73.790959,42.2528649,Hudson,NY,2018-01-20,5000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-156.4727118,20.8894101,Kahului,HI,2018-01-20,5000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-90.1978889,38.6272733,St. Louis,MO,2018-01-20,5000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-74.118329,42.041003,Woodstock,NY,2018-01-20,5000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-105.9377997,35.6869996,Santa Fe,NM,2018-01-21,5000,Women’s Rights,General Awareness,Empower Voters to Support Womens's Rights
-82.6469934,27.77330515,St. Petersburg,FL,2018-01-21,5000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-96.7968559,32.7762719,Dallas,TX,2018-01-20,4500,U.S. Politics,Politician Opposition,impeach Trump; Protesting Trump administration
-69.779663,44.310583,Augusta,ME,2018-01-20,4500,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-85.6165301,44.7606441,Traverse City,MI,2018-01-20,4500,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-83.7312291,42.2681569,Ann Arbor,MI,2018-01-20,4000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
-123.2620435,44.5645659,Corvallis,OR,2018-01-20,4000,Women’s Rights,General Awareness,Empower Voters to Support Women's Rights
