lon,lat,City,Location,State,Country,Date,EstimateText,EstimateLow,BestGuess,Attendance,Movement,Cause,AdjustedLow,AdjustedHigh,Actor,Description,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,,
-81.1881557,37.7781702,Beckley,Summit Bechtel Family National Scout Reserve,WV,US,2017-07-24,"more than 30,000; more than 40,000",30000,,40000,,,,,Boy Scouts of America; Trump administration,BSA 2017 National Scout Jamboree,2,rally,0,0,0,0,1,1,http://www.abcactionnews.com/news/national/trump-holds-trump-style-rally-at-boy-scouts-event,http://www.foxnews.com/politics/2017/07/26/trump-critics-liken-boy-scouts-event-to-hitler-youth-rally.html,http://www.syracuse.com/us-news/index.ssf/2017/07/trump_boy_scouts_jamboree_political_attacks.html,,,,
-80.6520161,41.1035786,Youngstown,Covelli Centre,OH,US,2017-07-25,"6,800 seats; capacity of about 7,000 people was filled ",6800,,6800,U.S. Politics,Politician Support,,,Trump administration,Pro-Trump rally,2,rally,0,0,0,0,1,1,http://thehill.com/homenews/administration/342609-trump-to-hold-rally-in-ohio-next-tuesday,http://www.wfmj.com/story/35958384/20000-reservations-may-not-mean-access-to-trump-rally,http://www.toledoblade.com/State/2017/07/25/President-Trump-holds-rally-in-Youngstown.html,,,,
-77.615214,43.157285,Rochester,Park Avenue,NY,US,2017-07-15,"At least a couple of thousand people, if not closer to 4,000",2000,,4000,LGBTQ+ Rights,Pride,,,Alliance of the Genesee Valley,ROC Pride Parade,1,march,0,0,0,0,1,1,http://www.democratandchronicle.com/story/news/2017/07/15/putting-pride-display-roc-neighborhood/481741001/,,,,,,
-111.8904308,40.7670126,Salt Lake City,from the Salt Palace Convention Center to the state Capitol,UT,US,2017-07-27,about 3000,3000,,3000,Environmental & Food Justice ,Environmental Protection,,,public land enthusiasts,This Land Is Our Land rally to support public lands and national monuments,1,march; rally,0,0,0,0,1,1,https://www.ksl.com/?sid=45190838&nid=148&title=thousands-march-in-slc-in-support-of-federal-public-lands,http://www.koaa.com/story/35991322/outdoor-industry-rallies-for-public-lands-protections,http://www.sltrib.com/news/5555037-155/hundreds-march-on-utah-capitol-in,,,,
-118.244476,34.054935,Los Angeles,from Pershing Square to City Hall,CA,US,2017-07-02,thousands; hundreds,200,,2000,U.S. Politics,Politician Opposition,,,general protestors,Impeach Trump,1,march; protest,0,0,0,0,1,1,http://www.latimes.com/local/lanow/la-me-ln-impeachment-march-20170702-story.html,https://www.facebook.com/events/1981311842088671/​,http://www.nbclosangeles.com/news/local/Thousands-Gather-in-Downtown-Los-Angeles-Calling-for-Impeachment-of-President-Trump-432164663.html,http://www.dailynews.com/general-news/20170702/trump-impeachment-march-takes-over-pershing-square-in-la,,,
-117.1627714,32.7174209,San Diego,Waterfront Park outside the San Diego County Administration Center at 1600 Pacific Highway,CA,US,2017-07-02,About 2000 protesters; About 1500 people,1500,,2000,U.S. Politics,Politician Opposition,,,Indivisible,Impeach Trump,1,march; protest,0,0,0,0,1,1,https://www.facebook.com/events/1738462749497526/,http://fox5sandiego.com/2017/07/02/san-diego-protesters-call-for-impeachment-of-trump/,http://www.sandiegouniontribune.com/communities/north-county/sd-me-trump-protest-20170702-story.html,,,,
-73.4373087,45.4423543,San Francisco,Justin Herman Plaza to Fisherman’s Wharf,CA,US,2017-07-02,Facebook: 1100 went; thousands; several hundred,200,,2000,U.S. Politics,Politician Opposition,,,Indivisible; TWW; Alameda4Impeachment; Progressive Democrats of America,Impeachment March,1,march; protest,0,0,0,0,1,1,https://www.facebook.com/events/326281611125129/,http://www.mysanantonio.com/bayarea/article/Thousands-march-in-S-F-to-call-for-impeachment-11262489.php,http://www.mysanantonio.com/bayarea/article/Thousands-march-in-S-F-to-call-for-impeachment-11262489.php,,,,
-86.452725,43.95544,Ludington,Stearns Park beach,MI,US,2017-07-03,thousands,2000,,2000,Environmental & Food Justice ,Environmental Protection,,,general protestors; organizer Lorrie Dykstra,All Hands on Deck in solidarity against threats to the lake,0,demonstration,0,0,0,0,1,1,http://www.shorelinemedia.net/ludington_daily_news/regional-all-hands-on-deck-demonstration-monday-an-effort-to/article_fb7f8672-5e17-11e7-af67-830cfb89908d.html,,,,,,
-78.4766781,38.029306,Charlottesville,Justice Park,VA,US,2017-07-08,more than 1000; thousands,1000,,2000,Racial Justice,Anti-Racism,,,Showing Up For Racial Justice Charlottesville; Black Lives Matter; Charlottesville Solidarity,"Anti-KKK ""BlocKKK Party""",1,protest,23,(see above),0,1,0,1,http://www.cbsnews.com/news/at-virginia-kkk-rally-counter-protesters-show-up-in-droves/,https://www.usatoday.com/story/news/nation-now/2017/07/08/kkk-holds-rally-virginia-and-met-protesters/462146001/,http://wjla.com/news/local/kkk-rally-in-va-to-protest-confederate-statue-removal-over-1000-rally-to-protest-kkk,Tear gas used against protesters,http://www.dailyprogress.com/news/local/activists-police-use-of-tear-gas-excessive-in-clearing-street/article_6c96b8f6-6504-11e7-9fcd-4be7ce7cfdf6.html,http://www.dailyprogress.com/news/local/lee-statue-vandalized-before-kkk-rally/article_70fe58b0-63ea-11e7-b183-b7463cad987a.html,http://cnycentral.com/news/nation-world/kkk-rally-in-va-to-protest-confederate-statue-removal-over-1000-rally-to-protest-kkk
-77.0366456,38.8949549,Washington,Washington Monument to Dept. of Education,DC,US,2017-07-22,"hundreds; as many as 1,500",200,,1500,U.S. Politics,Education Funding,,,"organizers Steve Ciprani and Wiaan De Beer from West Chester, PA's Henderson High School; organizer Pavithra Nagarajan of Columbia University",March for Public Education,1,protest,0,0,0,0,1,1,http://www.chicagotribune.com/news/nationworld/politics/ct-public-education-rally-washington-20170722-story.html,http://www.concordmonitor.com/In-D-C-rally-hundreds-protest-Trump-s-planned-cuts-to-education-11437134,http://www.courant.com/nation-world/ct-public-education-rally-washington-20170722-story.html,http://www.philly.com/philly/news/west-chester-teacher-co-chairs-national-education-march-20170722.html,,,
