CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,,
Beckley,Summit Bechtel Family National Scout Reserve,WV,US,2017-07-24,"more than 30,000; more than 40,000",30000,,40000,,,Boy Scouts of America; Trump administration,BSA 2017 National Scout Jamboree,2,rally,0,0,0,0,1,1,http://www.abcactionnews.com/news/national/trump-holds-trump-style-rally-at-boy-scouts-event,http://www.foxnews.com/politics/2017/07/26/trump-critics-liken-boy-scouts-event-to-hitler-youth-rally.html,http://www.syracuse.com/us-news/index.ssf/2017/07/trump_boy_scouts_jamboree_political_attacks.html,,,,
Youngstown,Covelli Centre,OH,US,2017-07-25,"6,800 seats; capacity of about 7,000 people was filled ",6800,,6800,,,Trump administration,Pro-Trump rally,2,rally,0,0,0,0,1,1,http://thehill.com/homenews/administration/342609-trump-to-hold-rally-in-ohio-next-tuesday,http://www.wfmj.com/story/35958384/20000-reservations-may-not-mean-access-to-trump-rally,http://www.toledoblade.com/State/2017/07/25/President-Trump-holds-rally-in-Youngstown.html,,,,
Salt Lake City,from the Salt Palace Convention Center to the state Capitol,UT,US,2017-07-27,about 3000,3000,,3000,,,public land enthusiasts,This Land Is Our Land rally to support public lands and national monuments,1,march; rally,0,0,0,0,1,1,https://www.ksl.com/?sid=45190838&nid=148&title=thousands-march-in-slc-in-support-of-federal-public-lands,http://www.koaa.com/story/35991322/outdoor-industry-rallies-for-public-lands-protections,http://www.sltrib.com/news/5555037-155/hundreds-march-on-utah-capitol-in,,,,
Ludington,Stearns Park beach,MI,US,2017-07-03,thousands,2000,,2000,,,general protestors; organizer Lorrie Dykstra,All Hands on Deck in solidarity against threats to the lake,0,demonstration,0,0,0,0,1,1,http://www.shorelinemedia.net/ludington_daily_news/regional-all-hands-on-deck-demonstration-monday-an-effort-to/article_fb7f8672-5e17-11e7-af67-830cfb89908d.html,,,,,,
Rochester,Park Avenue,NY,US,2017-07-15,"At least a couple of thousand people, if not closer to 4,000",2000,,4000,,,Alliance of the Genesee Valley,ROC Pride Parade,1,march,0,0,0,0,1,1,http://www.democratandchronicle.com/story/news/2017/07/15/putting-pride-display-roc-neighborhood/481741001/,,,,,,
San Diego,Waterfront Park outside the San Diego County Administration Center at 1600 Pacific Highway,CA,US,2017-07-02,About 2000 protesters; About 1500 people,1500,,2000,,,Indivisible,Impeach Trump,1,march; protest,0,0,0,0,1,1,https://www.facebook.com/events/1738462749497526/,http://fox5sandiego.com/2017/07/02/san-diego-protesters-call-for-impeachment-of-trump/,http://www.sandiegouniontribune.com/communities/north-county/sd-me-trump-protest-20170702-story.html,,,,
Charlottesville,Justice Park,VA,US,2017-07-08,more than 1000; thousands,1000,,2000,,,Showing Up For Racial Justice Charlottesville; Black Lives Matter; Charlottesville Solidarity,"Anti-KKK ""BlocKKK Party""",1,protest,23,(see above),0,1,0,1,http://www.cbsnews.com/news/at-virginia-kkk-rally-counter-protesters-show-up-in-droves/,https://www.usatoday.com/story/news/nation-now/2017/07/08/kkk-holds-rally-virginia-and-met-protesters/462146001/,http://wjla.com/news/local/kkk-rally-in-va-to-protest-confederate-statue-removal-over-1000-rally-to-protest-kkk,Tear gas used against protesters,http://www.dailyprogress.com/news/local/activists-police-use-of-tear-gas-excessive-in-clearing-street/article_6c96b8f6-6504-11e7-9fcd-4be7ce7cfdf6.html,http://www.dailyprogress.com/news/local/lee-statue-vandalized-before-kkk-rally/article_70fe58b0-63ea-11e7-b183-b7463cad987a.html,http://cnycentral.com/news/nation-world/kkk-rally-in-va-to-protest-confederate-statue-removal-over-1000-rally-to-protest-kkk
Detroit,Clark Park,MI,US,2017-07-22,more than 1000,1000,,1000,,,organizer Erica Foondle,National March for Public Education,1,rally; march,0,0,0,0,1,1,http://www.freep.com/story/news/local/michigan/detroit/2017/07/22/public-education-detroit-rally/502189001/,http://www.detroitnews.com/story/news/local/detroit-city/2017/07/22/detroit-national-march-education-rally/103915084/,http://www.freep.com/story/news/local/michigan/detroit/2017/07/22/public-education-detroit-rally/502189001/,,,,
San Diego,San Diego Convention Center,CA,US,2017-07-22,about 1000,1000,,1000,,,Rep. John Lewis,"Advertise Lewis's book ""March"" book series",0,march,0,0,0,0,1,1,http://www.ketv.com/article/civil-rights-icon-leads-march-through-san-diego-comic-con/10347391,http://www.morganton.com/entertainment/ap/civil-rights-icon-leads-march-through-california-comic-con/article_1ceee890-971b-5c4e-829b-d3792f7e2cc3.html,http://wsvn.com/news/politics/civil-rights-icon-leads-march-through-california-comic-con/,,,,
Washington,Upper Senate Park,DC,US,2017-07-13,"700 to 1,400 people are expected",700,,1400,,,Moms Clean Air Force,Oppose Trump's decision to pull America out of the Paris Climate Agreement,1,rally,0,0,0,0,0,1,http://triblive.com/local/allegheny/12499078-74/western-pa-families-headed-to-dc-for-moms-clean-air-force-demonstration,,,,,,
