CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.
Los Angeles,MacArthur Park to City Hall,CA,US,2017-05-01,tens of thousands; several thousand,20000,,20000,,,general protestors,May Day; immigration,1,march,0,0,0,0,1,1,http://time.com/4762902/may-day-protests-trump-immigration/,https://www.nytimes.com/2017/05/01/us/may-day-loyalty-day-protests-trump.html,http://www.ksbw.com/article/odd-may-day-protest-at-uc-santa-cruz/9589601,
Boston,Boston Common,MA,US,2017-05-20,more than 4000,4000,,4000,,,general protestors,protesting eductaion cuts in Trump's budget,1,protest,0,0,0,0,1,1,https://www.bostonglobe.com/metro/2017/05/20/more-than-rally-oppose-education-cuts/riSR1gngNE99gN6vBdpjBK/story.html,,,
Missoula,University of Montana campus,MT,US,2017-05-20,about 3500,3500,,3500,,,general protestors,Bernie Sanders' rally for Rob Quist,0,rally,0,0,0,0,1,1,http://www.bozemandailychronicle.com/ap_news/montana/bernie-sanders-rallies-montana-voters-to-support-rob-quist/article_979dbd54-01b6-5580-8653-bfe31f4de160.html,,,
San Francisco,"circling the streets around the ICE building, marched down Clay Street to Justin Herman Plaza. Protesters began marching down Market Street",CA,US,2017-05-01,"several thousand, some 5000",3000,,5000,,,general protestors,May Day or International Workers' Day; pro-immigration; pro-labor,1,protest; March,0,0,0,0,1,1,http://www.sfgate.com/bayarea/article/Protesters-fill-Bay-Area-streets-for-May-Day-11111960.php,https://socialistworker.org/2017/05/02/solidarity-in-the-streets-for-may-day,,
Chicago,,IL,US,2017-05-01,thousands,2000,,2000,,,general protestors,May Day; labor and immigration policies,1,protest; march,0,0,0,0,1,1,http://time.com/4762902/may-day-protests-trump-immigration/,http://www.ksbw.com/article/odd-may-day-protest-at-uc-santa-cruz/9589603,,
Grand Rapids,Garfield Park,MI,US,2017-05-01,"thousands, more than 4000",2000,,4000,,,general protestors; Cosecha Grand Rapids,May Day; Trump immigration policies,1,rally; march,0,0,0,0,1,1,http://www.wzzm13.com/news/local/grand-rapids-central/protesters-march-into-downtown-grand-rapids-for-day-without-immigrants/435611715,,http://woodtv.com/2017/05/01/may-day-march-for-immigrants-shuts-down-gr-roads/,
Las Vegas,Vegas Strip,NV,US,2017-05-01,thousands; at least 3000,2000,,3000,,,union members; general protestors,May Day: Trump immigration policies,1,march,,,,,1,1,http://time.com/4762902/may-day-protests-trump-immigration/,http://www.ksbw.com/article/odd-may-day-protest-at-uc-santa-cruz/9589604,https://www.reviewjournal.com/local/the-strip/superpeaceful-may-day-protest-on-las-vegas-strip-draws-thousands/,
Milwaukee,south side to the county courthouse,WI,US,2017-05-01,thousands,2000,,2000,,,Voces de la Frontera,May Day,1,march; protest,0,0,0,0,1,1,http://www.jsonline.com/story/news/local/wisconsin/2017/05/01/milwaukee-may-day-marchers-protest-david-clarke-donald-trump/101169190/,,,
Portland,Shemanski Park,OR,US,2017-05-01,thousands,2000,,2000,,,general protestors; anarchists,May Day; Trump immigration policies,1,rally; march,25,0,0,1,1,1,http://www.sfgate.com/news/article/May-Day-protests-spark-brawls-arrests-across-11113328.php,,http://www.cnn.com/2017/05/01/world/may-day-celebrations-protests-around-world/,
Providence,Burnside Park,RI,US,2017-05-01,thousands,2000,,2000,,,general protestors,"May Day; deportation; wage theft"" profiling",1,rally,,,,,1,1,http://time.com/4762902/may-day-protests-trump-immigration/,,http://time.com/4762902/may-day-protests-trump-immigration/,
San Jose,downtown,CA,US,2017-05-01,thousands,2000,,2000,,,general protestors,May Day; pro-immigration; pro-labor,1,protest; march,0,0,0,0,1,1,http://www.sfgate.com/bayarea/article/Protesters-fill-Bay-Area-streets-for-May-Day-11111960.php,,,
