CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,,
Boston ,,MA,US,2017-11-08,FB: 4000 went,4000,,4000,,,Refuse Fascism,Screaming protest ,1,protest ,0,0,0,0,0,1,http://www.newsweek.com/americans-scream-helplessly-sky-donald-trump-election-anniversary-690889,https://www.dallasnews.com/news/dallas/2017/11/07/hundreds-plan-howl-dallas-national-event-marking-anniversary-2016-election,http://www.foxnews.com/us/2017/11/09/anti-trump-protesters-scream-helplessly-at-sky-to-demonstrate-on-election-anniversary.html,http://thehill.com/blogs/in-the-know/359531-protesters-scream-at-the-sky-to-mark-anniversary-of-trumps-election,https://www.standard.co.uk/news/world/people-in-new-york-boston-and-philadelphia-plan-collective-scream-protest-on-one-year-of-trump-a3684856.html,http://www.foxnews.com/us/2017/11/09/anti-trump-protesters-scream-helplessly-at-sky-to-demonstrate-on-election-anniversary.html
Las Vegas,Las Vegas Strip,NV,US,2017-11-09,thousands,2000,,2000,,,general protestors,Show of solidarity with those affected by the gunfire in October,0,march,0,0,0,0,1,1,http://www.ktvn.com/story/36814263/thousands-march-on-vegas-strip-in-honor-of-october-shooting,https://www.usnews.com/news/best-states/nevada/articles/2017-11-10/thousands-march-on-vegas-strip-in-honor-of-october-shooting,,,,
Manhattan,Kansas State University,KS,US,2017-11-14,thousands,2000,,2000,,,general protestors,Protesting racial tensions on campus,0,protest,0,0,0,0,1,1,http://www.kansascity.com/news/local/article184568293.html,http://www.kansascity.com/news/local/article183691456.html,http://cjonline.com/news/local/education/2017-11-09/kansas-state-suspend-classes-tuesday-anti-racism-walk-rally,,,
Los Angeles,USC Campus,CA,US,2017-11-29,thousands,2000,,2000,,,Graduate students,Protesting GOP tax plan,1,protest,0,0,0,0,0,1,http://abc7.com/politics/usc-grad-students-walk-out-to-protest-gop-tax-reform-bill/2713802/,,,,,
Boston,Berklee College of Music,MA,US,2017-11-13,over 1200,1200,,1200,,,"Students, faculty",Protesting sexual assault allegations against teachers,0,protest,0,0,0,0,1,1,http://dailyfreepress.com/2017/11/14/berklee-students-walk-out-in-protest-of-sexual-assault-allegations/,,,,,
Shawnee,St. Gregory's University,OK,US,2017-11-13,more than 500,500,,500,,,general protestors,Protesting administration spending,0,protest,0,0,0,0,1,1,http://kfor.com/2017/11/13/students-staff-protest-closure-of-st-gregorys-university/,http://okcfox.com/news/local/st-gregorys-university-students-protest-school-permanently-shutting-down,,,,
New York ,Times Square ,NY,US,2017-11-04,FB: 438,438,,438,,,general protestors,Trump is facist ,1,protest ,0,0,0,0,1,1,https://www.facebook.com/events/341522882972612/,https://www.amny.com/news/politics/trump-protests-planned-in-new-york-city-1.13037005,,,,
Los Angeles,Pershing Square to Grand Central Market,CA,US,2017-11-04,roughly 400,400,,400,,,Refuse Fascism,Protesting Trump,1,protest,0,0,0,0,1,1,http://www.latimes.com/local/lanow/la-me-ln-anti-trump-protests-20171104-story.html,,,,,
Overland Park ,,KS,US,2017-11-28,about 400,400,,400,,,Kobach Campaign ,Rally in support of Kris Kobach,2,protest ,0,0,0,0,1,1,http://www.startribune.com/the-latest-trump-jr-event-in-kansas-draws-protest-backers/460647573/,http://www.registercitizen.com/news/article/Donald-Trump-Jr-leads-Kansas-fundraiser-for-12389939.php,,,,
Seattle,,WA,US,2017-11-29,NA,400,,400,,,Bus drivers,"Protesting wages, working conditions",0,protest,0,0,0,0,1,1,http://www.seattlepi.com/local/komo/article/Seattle-school-bus-drivers-go-on-day-long-strike-12391853.php,,,,,
Chicago,The Bean,IL,US,2017-11-05,FB: 355 went,355,,355,,,general protestors,Protesting events held at the Bean,0,protest ,0,0,0,0,1,1,https://www.facebook.com/events/279792622540366/,,,,,
Parsippany,Powder Mill Plaza,NJ,US,2017-11-04,at least 300,300,,300,,,Phil Murphy election campaign,Rally for Murphy's gubernatorial campaign,0,rally,0,0,0,0,1,1,http://www.dailyrecord.com/story/news/2017/11/05/murphy-booker-rally-democrats-parsippany/830657001/,,,,,
Berkeley,Alta Bates Summit Medical Center,CA,US,2017-11-05,about 300,300,,300,,,general protestors,Protesting plans to shut down medical facility,0,protest,0,0,0,0,1,1,http://www.berkeleyside.com/2017/11/06/stroller-brigade-protesters-officials-rally-save-alta-bates-services/,,,,,
New York ,City Hall,NY,US,2017-11-06,more than 300,300,,300,,,"Writers Guild of America, East",Protesting company who shut down after workers voted to unionize,0,protest,0,0,0,0,1,1,https://mic.com/articles/185867/new-yorkers-rally-in-support-of-gothamist-and-dnainfo-outside-city-hall#.bv8sYkUS8,http://variety.com/2017/digital/news/wga-east-sag-aftra-closures-dnainfo-gothamist-1202608433/,,,,
Kalama,Port of Kalama,WA,US,2017-11-08,about 300,300,,300,,,longshoremen,Protest stalled labor talks between the Kalama Export Company and International Longshoremen and Warehouse Union Local 21,0,protest,0,0,0,0,1,1,http://tdn.com/news/local/kalama-export-dockworkers-rally-for-better-benefits/article_6f88c42f-1050-56eb-b9b5-3a96241dd62a.html,,,,,
Salem,State Capitol,OR,US,2017-11-09,more than 300,300,,300,,,Salem-Keizer students,Protesting Trump's decision to end DACA; rally for imigrants,1,protest,0,0,0,0,1,1,http://www.statesmanjournal.com/story/news/2017/11/09/salem-students-daca-rally-dream-act-oregon-capitol/850849001/,http://www.statesmanjournal.com/picture-gallery/news/2017/11/09/hundreds-of-salem-keizer-students-rally-at-state-capitol-for-daca/107515850/,,,,
Clermont,Better Life Worhsip Center,FL,US,2017-11-16,more than 300,300,,300,,,general protestors,Vigil for student who died by suicide,0,rally,0,0,0,0,1,1,http://www.dailycommercial.com/news/20171117/vigil-held-in-honor-of-student-who-committed-suicide,,,,,
Arlington,Outside AT&T Stadium,TX,US,2017-11-19,about 300,300,,300,,,general protestors,National anthem protest; protesting racial inequality,1,protest,0,0,0,0,0,1,http://profootballtalk.nbcsports.com/2017/11/19/hundreds-of-protesters-take-a-knee-outside-att-stadium/,http://www.star-telegram.com/sports/nfl/dallas-cowboys/article185564198.html,,,,
West Palm Beach,,FL,US,2017-11-21,more than 300,300,,300,,,general protestors,Protesting Trump,1,protest,0,0,0,0,1,1,http://www.palmbeachpost.com/news/local/haitians-government-workers-union-protest-tps-decision-west-palm/te5uLQQlOVDpd6A5kkGA8M/,,,,,
Washington,East Front of US Capitol,DC,US,2017-11-01,FB: 287,287,,287,,,Americans for Tax Fairness,Protesting Trump's tax plan,1,rally ,0,0,0,0,1,1,https://www.facebook.com/events/1914463498815726/,https://www.meetup.com/Resist-Washington/events/244513520/,https://www.commondreams.org/news/2017/11/01/gop-scrambles-progressives-vow-defeat-tax-scam-just-we-killed-their-healthcare-bill,,,
Davis,UC Davis,CA,US,2017-11-29,between 250 and 300,250,,300,,,Graduate students,Protesting GOP tax plan,1,protest,0,0,0,0,1,1,http://www.davisenterprise.com/local-news/ucd/ucd-grad-students-protest-taxing-tuition-waivers/,,,,,
New Haven,Olive St.,CT,US,2017-11-01,FB: 214 went,214,,214,,,Connecticut Bail Fund,Rallying for the homeless,0,rally,0,0,0,0,1,1,https://www.facebook.com/events/1905011429761144/,,,,,
Washington ,U.S. Capitol ,DC,US,2017-11-15,FB: 206,206,,206,,,Our Revolution ,Protesting Trump's tax plan ,1,rally ,0,0,0,0,0,1,https://www.facebook.com/events/289467031557339/,,,,,
Frankfort,Outside State Capitol,KY,US,2017-11-01,hundreds,200,,200,,,general protestors,Protesting proposed pension cuts,0,protest,0,0,0,0,1,1,http://www.kentucky.com/news/politics-government/article182192926.html,,,,,
Seattle,City Hall,WA,US,2017-11-01,hundreds,200,,200,,,general protestors,Rallying for rights for the homeless,0,rally,0,0,0,0,1,1,http://www.seattlepi.com/homeless_in_seattle/article/Seattle-homeless-city-hall-mayor-emergency-12327855.php,,,,,
